"","id","samp_date","habitat","area","sex","age","im_name","mean_density","latitude"
"54","2A211161","10.05.2014","Forest","Madrid",1,"1yr","20231231_160356127",21.5170541868427,40.4168
"55","2A211162","17.05.14","Forest","Madrid",2,"1yr","20231231_151122818",20.8419416560266,40.4168
"56","2A211162","17.05.14","Forest","Madrid",2,"1yr","20231231_151137079",21.7836182002101,40.4168
"57","2A211162","17.05.14","Forest","Madrid",2,"1yr","20231231_151151630",21.5129244249726,40.4168
"58","2A211169","24.05.14","Forest","Madrid",1,"1yr","20231231_153330032",20.1297592773496,40.4168
"59","2A211169","24.05.14","Forest","Madrid",1,"1yr","20231231_153345578",19.4880777476053,40.4168
"60","2A211169","24.05.14","Forest","Madrid",1,"1yr","20231231_153401977",19.1397873777392,40.4168
"61","2A211188","30.05.14","Forest","Madrid",1,"1yr","20231231_151801090",25.3814835603735,40.4168
"62","2A211188","30.05.14","Forest","Madrid",1,"1yr","20231231_151925080",26.9805494678244,40.4168
"63","2A211188","30.05.14","Forest","Madrid",1,"1yr","20231231_152032692",23.8289252311088,40.4168
"64","2A211189","30.05.14","Forest","Madrid",2,"1yr","20231231_153007474",23.2659070066256,40.4168
"65","2A211189","30.05.14","Forest","Madrid",2,"1yr","20231231_153040977",23.6477030908048,40.4168
"66","2A211189","30.05.14","Forest","Madrid",2,"1yr","20231231_153102028",22.6393334532158,40.4168
"67","2A211194","30.05.14","Forest","Madrid",1,"1yr","20231231_175318938",23.9223086892863,40.4168
"68","2A211194","30.05.14","Forest","Madrid",1,"1yr","20231231_175411738",23.4026600148704,40.4168
"69","2A211194","30.05.14","Forest","Madrid",1,"1yr","20231231_175435896",24.9223066394933,40.4168
"70","2A256634","10.05.14","Forest","Madrid",1,"2yr+","20231231_160619072",22.5829329046391,40.4168
"71","2A256634","10.05.14","Forest","Madrid",1,"2yr+","20231231_160644288",22.1108328872679,40.4168
"72","2A256634","10.05.14","Forest","Madrid",1,"2yr+","20231231_160703161",23.2421221989128,40.4168
"73","2A368605","07.06.14","Forest","Madrid",2,"1yr","20231231_151406366",23.8283292080875,40.4168
"74","2A368605","07.06.14","Forest","Madrid",2,"1yr","20231231_151423959",21.6769269269269,40.4168
"75","2A368605","07.06.14","Forest","Madrid",2,"1yr","20231231_151531609",20.7926364175518,40.4168
"76","2A369175","08.03.14","Urban","Madrid",1,"2yr+","20231231_154118760",19.2551313869434,40.4168
"77","2A369175","08.03.14","Urban","Madrid",1,"2yr+","20231231_154141733",18.3681723266293,40.4168
"78","2A369175","08.03.14","Urban","Madrid",1,"2yr+","20231231_154225388",18.8358634538152,40.4168
"79","2A395620","10.05.14","Forest","Madrid",1,"1yr","20231231_175107300",20.2551026005923,40.4168
"80","2A395620","10.05.14","Forest","Madrid",1,"1yr","20231231_175123837",20.0353234294463,40.4168
"81","2A395620","10.05.14","Forest","Madrid",1,"1yr","20231231_175138621",20.4790475967176,40.4168
"82","2A395634","10.05.14","Forest","Madrid",2,"1yr","20231231_173908002",19.3550782732922,40.4168
"83","2A395634","10.05.14","Forest","Madrid",2,"1yr","20231231_173921035",22.7932984853962,40.4168
"84","2A395634","10.05.14","Forest","Madrid",2,"1yr","20231231_173955193",23.3125165293992,40.4168
"85","2A395635","10.05.14","Forest","Madrid",1,"1yr","20231231_174824583",20.710761966786,40.4168
"86","2A395635","10.05.14","Forest","Madrid",1,"1yr","20231231_174840257",20.9723106873465,40.4168
"87","2A395635","10.05.14","Forest","Madrid",1,"1yr","20231231_174902793",21.7580814849785,40.4168
"88","2A395636","27.04.14","Forest","Madrid",1,"2yr+","20231231_160059410",20.7688294242467,40.4168
"89","2A395636","27.04.14","Forest","Madrid",1,"2yr+","20231231_160119508",21.7146921017403,40.4168
"90","2A395636","27.04.14","Forest","Madrid",1,"2yr+","20231231_160145110",21.4730053006451,40.4168
"91","2A395638","27.04.14","Forest","Madrid",2,"2yr+","20231231_155407308",23.0306466959677,40.4168
"92","2A395638","27.04.14","Forest","Madrid",2,"2yr+","20231231_155424373",21.7580814849785,40.4168
"93","2A395638","27.04.14","Forest","Madrid",2,"2yr+","20231231_155442418",21.4055510672638,40.4168
"94","2A430831","10.05.14","Forest","Madrid",2,"1yr","20231231_153513642",18.7551549668242,40.4168
"95","2A430831","10.05.14","Forest","Madrid",2,"1yr","20231231_153524344",20.415587507278,40.4168
"96","2A430831","10.05.14","Forest","Madrid",2,"1yr","20231231_153533252",19.8392360984724,40.4168
"97","2A431192","07.03.14","Urban","Madrid",1,"2yr+","20231231_164632570",21.1834740775792,40.4168
"98","2A431192","07.03.14","Urban","Madrid",1,"2yr+","20231231_164728627",20.7675868639724,40.4168
"99","2A431192","07.03.14","Urban","Madrid",1,"2yr+","20231231_164750543",18.4602976470447,40.4168
"100","2A431193","07.03.14","Urban","Madrid",1,"2yr+","20231231_173415651",18.1858505274168,40.4168
"101","2A431193","07.03.14","Urban","Madrid",1,"2yr+","20231231_173436405",18.4258989883608,40.4168
"102","2A431193","07.03.14","Urban","Madrid",1,"2yr+","20231231_173455514",21.0563707419995,40.4168
"103","2A431194","07.03.14","Urban","Madrid",1,"2yr+","20231231_154546890",19.8392360984724,40.4168
"104","2A431194","07.03.14","Urban","Madrid",1,"2yr+","20231231_154559066",22.2598505724868,40.4168
"105","2A431194","07.03.14","Urban","Madrid",1,"2yr+","20231231_154618895",20.4790475967176,40.4168
"106","2A431492","07.10.14","Urban","Madrid",1,"2yr+","20231231_174139902",20.3694287493217,40.4168
"107","2A431492","07.10.14","Urban","Madrid",1,"2yr+","20231231_174150520",19.8883335982771,40.4168
"108","2A431492","07.10.14","Urban","Madrid",1,"2yr+","20231231_174203068",19.508036737644,40.4168
"109","G1","16.06.15","Urban","Goteborg",1,"2yr+","20240101_144636451",21.415866819952,57.7089
"110","G1","16.06.15","Urban","Goteborg",1,"2yr+","20240101_144703912",18.9477337545174,57.7089
"111","G1","16.06.15","Urban","Goteborg",1,"2yr+","20240101_144723024",20.2670900519712,57.7089
"112","G10","16.06.15","Urban","Goteborg",1,"2yr+","20240101_142450807",22.4174838496075,57.7089
"113","G10","16.06.15","Urban","Goteborg",1,"2yr+","20240101_142511298",20.5643269002874,57.7089
"114","G10","16.06.15","Urban","Goteborg",1,"2yr+","20240101_142526185",19.9387519341304,57.7089
"115","G11","16.06.15","Urban","Goteborg",2,"2yr+","20240101_142643302",18.8067169087007,57.7089
"116","G11","16.06.15","Urban","Goteborg",2,"2yr+","20240101_142655777",19.3516618776358,57.7089
"117","G11","16.06.15","Urban","Goteborg",2,"2yr+","20240101_142808173",18.7711472039199,57.7089
"118","G12","17.06.15","Forest","Goteborg",2,"2yr+","20240101_145423474",23.6903429440024,57.7089
"119","G12","17.06.15","Forest","Goteborg",2,"2yr+","20240101_145436762",21.7338884407819,57.7089
"120","G12","17.06.15","Forest","Goteborg",2,"2yr+","20240101_145510634",24.3358490758962,57.7089
"121","G13","17.06.15","Forest","Goteborg",1,"2yr+","20240101_142958985",19.7660312893364,57.7089
"122","G13","17.06.15","Forest","Goteborg",1,"2yr+","20240101_143020919",20.333490693283,57.7089
"123","G13","17.06.15","Forest","Goteborg",1,"2yr+","20240101_143111008",23.0048357010773,57.7089
"124","G14","17.06.15","Forest","Goteborg",2,"1yr","20240101_141841490",22.2604696819685,57.7089
"125","G14","17.06.15","Forest","Goteborg",2,"1yr","20240101_141932118",21.6899323554133,57.7089
"126","G14","17.06.15","Forest","Goteborg",2,"1yr","20240101_142004702",22.479958463136,57.7089
"127","G15","17.06.15","Forest","Goteborg",2,"1yr","20240101_141432295",18.8472742935488,57.7089
"128","G15","17.06.15","Forest","Goteborg",2,"1yr","20240101_141446616",19.8994770623278,57.7089
"129","G15","17.06.15","Forest","Goteborg",2,"1yr","20240101_141530200",19.4912923397917,57.7089
"130","G16","17.06.15","Forest","Goteborg",2,"1yr","20240101_145055139",18.2035968648006,57.7089
"131","G16","17.06.15","Forest","Goteborg",2,"1yr","20240101_145140089",21.2255149684152,57.7089
"132","G16","17.06.15","Forest","Goteborg",2,"1yr","20240101_145152795",20.0327453868622,57.7089
"133","G17","17.06.15","Forest","Goteborg",1,"1yr","20240101_141051980",21.7372945933104,57.7089
"134","G17","17.06.15","Forest","Goteborg",1,"1yr","20240101_141124123",17.0057449883118,57.7089
"135","G17","17.06.15","Forest","Goteborg",1,"1yr","20240101_141210625",18.6749497991968,57.7089
"136","G18","17.06.15","Forest","Goteborg",2,"1yr","20240101_140842327",18.1828566244229,57.7089
"137","G18","17.06.15","Forest","Goteborg",2,"1yr","20240101_140858624",18.644801427934,57.7089
"138","G18","17.06.15","Forest","Goteborg",2,"1yr","20240101_140912452",19.5483187114607,57.7089
"139","G19","17.06.15","Forest","Goteborg",1,"1yr","20240101_140308545",23.1354797979798,57.7089
"140","G19","17.06.15","Forest","Goteborg",1,"1yr","20240101_140406276",25.4596876933717,57.7089
"141","G19","17.06.15","Forest","Goteborg",1,"1yr","20240101_140600852",20.9565656565656,57.7089
"142","G2","16.06.15","Urban","Goteborg",2,"2yr+","20240101_144421492",20.7648221737271,57.7089
"143","G2","16.06.15","Urban","Goteborg",2,"2yr+","20240101_144439868",20.3126057614201,57.7089
"144","G2","16.06.15","Urban","Goteborg",2,"2yr+","20240101_144518976",20.5019944415715,57.7089
"145","G20","17.06.15","Forest","Goteborg",1,"1yr","20240101_140030775",19.7630052107626,57.7089
"146","G20","17.06.15","Forest","Goteborg",1,"1yr","20240101_140038455",15.7144628692097,57.7089
"147","G20","17.06.15","Forest","Goteborg",1,"1yr","20240101_140133522",20.2498783010831,57.7089
"148","G21","17.06.15","Forest","Goteborg",1,"2yr+","20240101_135802082",18.6484848484848,57.7089
"149","G21","17.06.15","Forest","Goteborg",1,"2yr+","20240101_135818008",19.4848141554728,57.7089
"150","G21","17.06.15","Forest","Goteborg",1,"2yr+","20240101_135826695",21.9337373811804,57.7089
"151","G22","17.06.15","Forest","Goteborg",2,"2yr+","20240101_144851991",20.7688294242467,57.7089
"152","G22","17.06.15","Forest","Goteborg",2,"2yr+","20240101_144909873",22.6749761810003,57.7089
"153","G22","17.06.15","Forest","Goteborg",2,"2yr+","20240101_144926764",21.1236242085649,57.7089
"154","G3","16.06.15","Urban","Goteborg",1,"1yr","20240101_144127315",22.5823191531164,57.7089
"155","G3","16.06.15","Urban","Goteborg",1,"1yr","20240101_144145261",21.1862468416641,57.7089
"156","G3","16.06.15","Urban","Goteborg",1,"1yr","20240101_144238133",22.7692209816198,57.7089
"157","G4","16.06.15","Urban","Goteborg",2,"1yr","20240101_143911130",20.2315572644878,57.7089
"158","G4","16.06.15","Urban","Goteborg",2,"1yr","20240101_143927492",19.0786592112702,57.7089
"159","G4","16.06.15","Urban","Goteborg",2,"1yr","20240101_143955781",16.710795752914,57.7089
"160","G5","16.06.15","Urban","Goteborg",2,"1yr","20240101_145951623",20.6691200732053,57.7089
"161","G5","16.06.15","Urban","Goteborg",2,"1yr","20240101_150005417",20.8693170996822,57.7089
"162","G5","16.06.15","Urban","Goteborg",2,"1yr","20240101_150044288",20.6236832298258,57.7089
"163","G6","16.06.15","Urban","Goteborg",2,"1yr","20240101_143653623",20.341814777635,57.7089
"164","G6","16.06.15","Urban","Goteborg",2,"1yr","20240101_143711209",19.3941429217548,57.7089
"165","G6","16.06.15","Urban","Goteborg",2,"1yr","20240101_143726488",20.4375101896042,57.7089
"166","G7","16.06.15","Urban","Goteborg",1,"2yr+","20240101_145729131",19.9235591338497,57.7089
"167","G7","16.06.15","Urban","Goteborg",1,"2yr+","20240101_145802785",21.7329024248258,57.7089
"168","G7","16.06.15","Urban","Goteborg",1,"2yr+","20240101_145819383",20.9279102632043,57.7089
"169","G8","16.06.15","Urban","Goteborg",2,"2yr+","20240101_143432995",19.1184335574702,57.7089
"170","G8","16.06.15","Urban","Goteborg",2,"2yr+","20240101_143514622",20.9935529723309,57.7089
"171","G8","16.06.15","Urban","Goteborg",2,"2yr+","20240101_143542867",22.60679863652,57.7089
"172","G9","16.06.15","Urban","Goteborg",2,"1yr","20240101_142232741",20.4804231624374,57.7089
"173","G9","16.06.15","Urban","Goteborg",2,"1yr","20240101_142251047",17.2290844838922,57.7089
"174","G9","16.06.15","Urban","Goteborg",2,"1yr","20240101_142317348",15.8395503937673,57.7089
"175","LI01","24.09.14","Urban","Lisbon",1,"2yr+","20231230_175236605",20.8127224193453,38.7169
"176","LI01","24.09.14","Urban","Lisbon",1,"2yr+","20231230_175249149",20.9925328313388,38.7169
"177","LI01","24.09.14","Urban","Lisbon",1,"2yr+","20231230_175324192",19.472218442007,38.7169
"178","LI02","24.09.14","Urban","Lisbon",2,"1yr","20231230_174016188",19.1607383235891,38.7169
"179","LI02","24.09.14","Urban","Lisbon",2,"1yr","20231230_174044105",19.5669107998413,38.7169
"180","LI02","24.09.14","Urban","Lisbon",2,"1yr","20231230_174110140",20.3836027892115,38.7169
"181","LI03","24.09.14","Urban","Lisbon",1,"2yr+","20231230_175452857",20.169798221003,38.7169
"182","LI03","24.09.14","Urban","Lisbon",1,"2yr+","20231230_175514999",18.463707189311,38.7169
"183","LI03","24.09.14","Urban","Lisbon",1,"2yr+","20231230_175611993",20.1309958977687,38.7169
"184","LI05","24.09.14","Urban","Lisbon",2,"2yr+","20231230_175909596",20.8963246927102,38.7169
"185","LI05","24.09.14","Urban","Lisbon",2,"2yr+","20231230_180013773",17.4737055359464,38.7169
"186","LI05","24.09.14","Urban","Lisbon",2,"2yr+","20231230_180134889",16.5840336903781,38.7169
"187","LI07","24.09.14","Urban","Lisbon",1,"1yr","20231230_180432134",18.4904876628634,38.7169
"188","LI07","24.09.14","Urban","Lisbon",1,"1yr","20231230_180458381",17.9093106289481,38.7169
"189","LI07","24.09.14","Urban","Lisbon",1,"1yr","20231230_180651431",22.7646742695586,38.7169
"190","LI08","24.09.14","Urban","Lisbon",2,"1yr","20231230_180907069",18.5740659608129,38.7169
"191","LI08","24.09.14","Urban","Lisbon",2,"1yr","20231230_180942108",23.1924855330872,38.7169
"192","LI08","24.09.14","Urban","Lisbon",2,"1yr","20231230_181046069",20.5419195595896,38.7169
"193","LI09","25.09.14","Urban","Lisbon",1,"2yr+","20231230_181333337",20.5208356082942,38.7169
"194","LI09","25.09.14","Urban","Lisbon",1,"2yr+","20231230_181348215",18.2406298635906,38.7169
"195","LI09","25.09.14","Urban","Lisbon",1,"2yr+","20231230_181424289",20.8531527924386,38.7169
"196","LI10","25.09.14","Urban","Lisbon",1,"2yr+","20231230_181637801",22.8403412200995,38.7169
"197","LI10","25.09.14","Urban","Lisbon",1,"2yr+","20231230_181725351",21.4928384231791,38.7169
"198","LI10","25.09.14","Urban","Lisbon",1,"2yr+","20231230_181753131",21.603096966063,38.7169
"199","LI11","25.09.14","Urban","Lisbon",2,"2yr+","20231230_181941574",22.505890227577,38.7169
"200","LI11","25.09.14","Urban","Lisbon",2,"2yr+","20231230_182017546",23.5509066569307,38.7169
"201","LI11","25.09.14","Urban","Lisbon",2,"2yr+","20231230_182045200",20.1517141663922,38.7169
"202","LI13","25.09.14","Urban","Lisbon",1,"2yr+","20231230_182302339",19.2327065839114,38.7169
