"","city","latitude","longitude","area","feather","elevation"
"1","Gothenburg",57.073333,11.94,"Urban","si",0
"2","Lisbon",38.74,-9.18,"Urban","si",77
"3","Madrid",40.44,-3.73,"Urban","si",637
"4","Malmo",55.6,12.99,"Urban","si",4
"5","Milan",45.53,9.21,"Urban","si",149
"6","Gothenburg",57.5,12.01,"Rural","si",52
"7","Lisbon",38.86,-8.83,"Rural","si",28
"8","Madrid",40.57,-4.16,"Rural","si",995
"9","Malmo",55.65,13.57,"Rural","si",57
"10","Milan",45.82,9.29,"Rural","si",476
